TOP.6148c662.000adbdf	START
TOP.614988e5.0001a15e	user_options->runtime	0
TOP.614988e5.0001a15e	user_options->scrypt_tmto	0
TOP.614988e5.0001a15e	user_options->segment_size	33554432
TOP.614988e5.0001a15e	user_options->self_test_disable	0
TOP.614988e5.0001a15e	user_options->slow_candidates	0
TOP.614988e5.0001a15e	user_options->show	0
TOP.614988e5.0001a15e	user_options->speed_only	0
TOP.614988e5.0001a15e	user_options->spin_damp	8
TOP.614988e5.0001a15e	user_options->status	1
TOP.614988e5.0001a15e	user_options->status_timer	3
TOP.614988e5.0001a15e	user_options->stdout_flag	0
TOP.614988e5.0001a15e	user_options->usage	0
TOP.614988e5.0001a15e	user_options->username	0
TOP.614988e5.0001a15e	user_options->veracrypt_pim	0
TOP.614988e5.0001a15e	user_options->version	0
TOP.614988e5.0001a15e	user_options->workload_profile	2
TOP.614988e5.0001a15e	user_options->brain_client	0
TOP.614988e5.0001a15e	user_options->brain_client_features	2
TOP.614988e5.0001a15e	user_options->brain_server	0
TOP.614988e5.0001a15e	user_options->brain_port	6863
TOP.614988e5.0001a15e	user_options->brain_session	0
TOP.614988e5.0001a15e	hashes->hashfile	D:\graduation-project\application\sweeney/temp/hashcat/v4VuYun4rUg4HOvW8nZQm9uLhmoN6OAf
TOP.614988e5.0001a15e	hashes->hashlist_mode	4
TOP.614988e5.0001a15e	hashes->hashlist_format	0
TOP.614988e5.0001a15e	hashes->hashes_cnt	0
TOP.614988e5.0001a15e	hashes->digests_cnt	1
TOP.614988e5.0001a15e	hashes->digests_done	0
TOP.614988e5.0001a15e	hashes->salts_cnt	1
TOP.614988e5.0001a15e	hashes->salts_done	0
TOP.614988e5.0001a15e	SUB.614988e7.00044276	START
TOP.614988e5.0001a15e	SUB.614988e7.00044276	mask_ctx->mask	?l?l?l?l?l?l?l?l?l
TOP.614988e5.0001a15e	proc_start	1632209125
TOP.614988e5.0001a15e	proc_stop	1632209128
TOP.614988e5.0001a15e	STOP
TOP.614988ea.0007d94e	START
TOP.614988ea.0007d94e	user_options->separator	:
TOP.614988ea.0007d94e	user_options->encoding_from	utf-8
TOP.614988ea.0007d94e	user_options->encoding_to	utf-8
TOP.614988ea.0007d94e	user_options->rule_buf_l	:
TOP.614988ea.0007d94e	user_options->rule_buf_r	:
TOP.614988ea.0007d94e	user_options->session	hashcat
TOP.614988ea.0007d94e	user_options->limit	8031810177
TOP.614988ea.0007d94e	user_options->skip	8031810021
TOP.614988ea.0007d94e	user_options->attack_mode	3
TOP.614988ea.0007d94e	user_options->benchmark	0
TOP.614988ea.0007d94e	user_options->benchmark_all	0
TOP.614988ea.0007d94e	user_options->bitmap_max	18
TOP.614988ea.0007d94e	user_options->bitmap_min	16
